Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
D,Flight,6,3,297,5,low,F,5,1657,No
D,Road,7,5,250,4,low,F,2,1296,No
F,Ship,5,4,281,4,medium,M,56,3709,Yes
D,Ship,4,3,148,2,low,M,29,1809,Yes
D,Road,4,5,154,4,medium,M,7,4938,No
C,Ship,5,1,249,5,medium,M,10,1561,No
D,Flight,6,1,126,3,medium,F,37,1697,Yes
B,Ship,2,3,263,4,medium,M,9,5390,No
B,Road,4,3,207,4,low,M,5,5008,Yes
C,Ship,4,2,220,3,low,F,9,5896,No
D,Road,6,2,260,3,low,M,2,4071,No
C,Ship,4,2,238,2,high,M,17,3358,Yes
D,Road,5,4,200,3,medium,M,3,4225,No
F,Flight,4,3,178,3,medium,M,3,5669,No
B,Ship,3,1,176,2,medium,F,4,5726,No
C,Road,4,4,248,4,low,F,49,2322,Yes
A,Ship,5,4,265,2,low,F,2,5164,Yes
F,Road,3,2,257,2,medium,M,8,4242,Yes
C,Ship,4,1,228,2,medium,F,9,4091,No
F,Ship,5,2,243,5,medium,F,4,1013,Yes
D,Ship,4,5,232,2,low,M,54,2526,Yes
A,Ship,4,3,170,4,medium,F,9,4375,No
C,Road,2,2,285,2,medium,F,16,2223,Yes
B,Ship,6,5,258,4,low,M,5,1966,Yes
F,Ship,4,5,246,6,low,M,64,2271,Yes
D,Ship,4,3,257,3,low,F,2,5198,Yes
B,Flight,6,5,244,4,medium,F,4,1648,Yes
B,Ship,2,4,151,4,low,F,2,1150,No
F,Road,5,2,244,6,low,M,1,1199,No
F,Ship,3,4,213,3,high,F,4,5996,No
D,Flight,4,1,145,3,low,M,8,5127,No
F,Flight,3,4,235,3,low,M,4,5498,No
C,Ship,3,3,255,2,low,M,8,5955,Yes
F,Ship,4,3,266,2,medium,M,6,4286,Yes
B,Ship,4,5,154,3,medium,F,9,5489,Yes
F,Road,4,5,239,5,low,M,7,1380,No
F,Road,3,2,236,3,medium,M,8,5783,No
B,Ship,3,3,219,3,medium,F,17,3387,Yes
A,Ship,4,1,261,6,low,F,6,5861,No
F,Flight,4,5,259,3,medium,M,10,4921,Yes
B,Ship,4,2,254,10,high,M,7,5820,No
C,Ship,6,2,255,4,medium,F,3,1355,No
F,Ship,5,1,235,3,low,F,7,5061,No
C,Ship,3,2,134,3,medium,F,54,1932,Yes
B,Flight,4,1,205,2,low,M,10,4086,No
A,Flight,3,4,198,3,medium,M,7,4020,No
F,Ship,4,2,222,3,high,F,9,5337,No
A,Ship,3,3,262,2,low,F,10,5951,Yes
F,Ship,3,5,187,2,medium,F,50,2598,Yes
D,Ship,3,1,238,2,medium,M,5,4355,Yes
F,Ship,5,1,193,2,medium,F,1,4450,No
D,Road,5,5,161,3,low,F,1,4470,Yes
A,Flight,3,5,184,3,medium,F,9,4969,No
A,Road,3,2,124,5,medium,M,10,5348,No
A,Ship,4,2,173,2,medium,M,9,4307,No
C,Ship,4,4,234,2,medium,F,8,5744,No
F,Road,4,1,242,2,low,F,2,5825,No
F,Road,5,4,239,2,low,M,35,2107,Yes
D,Ship,4,1,192,4,high,M,10,4570,Yes
B,Flight,3,1,162,8,high,F,10,5429,No
A,Flight,5,2,253,2,high,F,2,5643,Yes
D,Ship,4,3,269,2,medium,M,2,4158,No
D,Flight,4,1,274,6,low,M,8,1141,Yes
C,Ship,3,3,205,5,medium,M,35,2988,Yes
C,Ship,4,3,145,3,low,F,5,5802,Yes
F,Ship,7,3,305,4,low,F,3,1872,No
C,Road,3,1,186,2,medium,M,3,5818,No
B,Flight,6,1,293,5,medium,F,7,1052,No
F,Ship,4,3,274,3,medium,F,8,4276,No
C,Ship,3,4,151,3,low,M,2,5712,Yes
F,Flight,4,1,157,3,medium,M,31,1712,Yes
C,Ship,4,1,244,2,low,F,3,4644,Yes
C,Ship,6,4,283,4,medium,M,1,1384,Yes
A,Ship,5,4,236,5,low,M,6,1829,Yes
F,Ship,7,5,253,4,low,M,10,1166,Yes
D,Road,5,4,269,3,medium,M,15,2522,Yes
A,Ship,3,1,149,2,medium,F,7,4147,Yes
F,Ship,3,3,165,4,medium,M,2,4176,Yes
C,Ship,3,1,223,4,low,M,1,4195,No
C,Ship,6,2,259,5,medium,M,1,1357,No
D,Ship,5,1,181,2,medium,F,4,5578,Yes
F,Flight,5,3,202,6,low,F,34,2936,Yes
F,Ship,3,5,119,3,medium,M,7,1021,Yes
A,Road,4,5,139,2,medium,F,1,4606,No
F,Ship,3,4,166,4,low,M,4,5107,No
A,Ship,4,3,214,2,low,M,57,2078,Yes
B,Ship,3,5,185,4,low,M,9,5704,No
A,Ship,3,1,258,2,low,F,4,5262,No
F,Flight,4,5,194,2,high,M,44,2651,Yes
D,Ship,4,4,263,3,medium,M,1,5283,Yes
C,Ship,3,2,158,3,high,F,59,1307,Yes
A,Ship,3,4,242,5,low,M,5,2307,Yes
A,Flight,5,2,131,5,low,F,4,4600,Yes
B,Road,7,1,296,4,low,F,10,1230,Yes
D,Ship,5,3,238,5,high,M,7,1848,No
F,Ship,3,2,144,3,high,M,1,5307,No
A,Ship,4,3,201,2,low,F,10,4875,No
D,Flight,6,4,171,5,medium,M,9,4376,Yes
B,Ship,6,2,289,5,medium,F,10,1607,Yes
D,Ship,3,4,205,5,low,F,4,4483,No
C,Ship,3,4,216,3,low,F,41,2042,Yes
D,Road,4,3,258,2,low,F,2,4308,No
D,Road,3,2,269,4,medium,M,1,5797,No
A,Ship,6,3,210,4,medium,M,9,5440,No
F,Flight,3,1,162,3,medium,F,12,1417,Yes
B,Ship,6,5,271,4,low,M,3,1710,Yes
A,Ship,4,2,238,2,low,F,2,4002,No
D,Ship,4,1,100,6,medium,M,6,5841,No
F,Ship,4,4,201,3,low,F,2,5385,No
F,Ship,4,3,252,3,medium,F,7,4852,No
C,Ship,4,4,215,2,high,F,6,5238,No
A,Flight,4,1,157,5,low,M,10,4871,No
F,Ship,5,1,172,2,high,F,7,5165,No
C,Ship,5,1,152,3,medium,F,6,4735,No
F,Flight,5,1,170,4,medium,M,4,5113,Yes
B,Flight,4,1,240,4,low,F,6,4811,No
D,Ship,3,3,181,3,low,F,1,5094,Yes
A,Ship,4,5,156,3,low,F,2,1127,Yes
C,Flight,4,4,209,3,medium,M,7,4717,Yes
F,Ship,6,3,306,4,low,M,10,1372,Yes
B,Road,5,3,267,6,low,M,10,1027,No
A,Ship,5,3,131,8,low,F,5,4149,Yes
B,Ship,4,1,241,2,low,F,39,2935,Yes
C,Road,6,1,255,4,low,M,5,1253,Yes
C,Ship,3,2,154,2,medium,M,4,5864,No
C,Ship,5,2,254,2,low,F,5,4985,Yes
B,Road,5,5,265,5,medium,F,8,1867,No
F,Ship,2,2,158,3,medium,F,2,4153,No
F,Flight,5,5,225,4,high,F,3,5274,Yes
B,Ship,4,4,168,4,medium,F,4,4676,No
F,Road,3,3,155,3,low,M,20,1830,Yes
F,Ship,4,1,234,5,low,M,3,1134,No
D,Ship,5,5,240,6,low,F,10,1986,No
A,Ship,4,4,143,5,high,F,5,1027,Yes
B,Ship,4,2,256,2,medium,M,10,3128,Yes
B,Ship,3,4,269,3,medium,M,8,5364,Yes
A,Flight,4,2,145,3,medium,M,1,5400,No
F,Road,4,5,237,5,medium,M,4,4917,No
C,Ship,4,2,271,3,low,F,19,2693,Yes
F,Flight,3,4,212,2,low,M,7,4742,No
F,Ship,3,2,212,2,medium,F,65,3776,Yes
F,Flight,4,5,221,3,low,F,43,3561,Yes
F,Road,3,1,132,2,medium,M,62,1909,Yes
A,Ship,3,5,271,2,medium,F,6,4020,Yes
B,Road,3,2,227,2,low,M,10,5401,No
A,Ship,4,3,178,3,medium,M,6,4576,No
F,Road,6,4,292,4,low,M,3,1826,Yes
C,Ship,5,5,242,4,medium,F,2,5359,No
F,Road,5,2,164,2,medium,M,8,5717,No
B,Ship,5,5,257,5,low,M,5,1657,No
D,Ship,3,4,254,2,medium,F,44,3786,Yes
D,Ship,7,2,255,4,medium,F,10,1372,No
F,Ship,5,3,175,3,medium,F,7,5047,Yes
D,Flight,3,5,162,2,low,M,4,4495,No
D,Ship,4,5,108,6,medium,M,46,1882,Yes
B,Ship,3,2,221,3,high,F,7,5477,No
C,Flight,2,4,114,5,high,M,3,4423,No
D,Flight,4,3,266,6,medium,F,5,5209,No
A,Ship,4,3,263,5,low,F,10,1762,No
A,Ship,3,4,250,3,low,M,6,4830,Yes
F,Ship,4,3,232,3,medium,F,8,5298,Yes
F,Ship,4,2,246,3,low,F,1,5815,Yes
F,Ship,3,5,156,2,medium,F,8,5848,No
F,Ship,4,3,153,3,medium,F,6,5748,No
B,Ship,5,5,247,3,low,M,1,5226,No
F,Ship,5,2,246,3,medium,F,10,5110,No
F,Road,6,5,244,3,low,M,9,5634,No
F,Ship,6,4,299,4,low,M,9,1527,No
B,Ship,5,4,143,3,medium,F,1,5165,Yes
B,Ship,2,2,271,4,medium,M,9,4066,No
F,Ship,6,3,98,6,low,M,9,4787,Yes
F,Ship,4,4,232,4,low,M,27,3436,Yes
C,Road,3,3,136,3,low,M,10,5175,No
F,Ship,5,1,265,5,medium,F,3,1514,Yes
A,Ship,5,1,217,2,medium,M,6,5518,No
F,Flight,5,1,233,4,high,M,2,4615,Yes
D,Road,4,2,149,6,low,F,6,4904,No
D,Flight,3,5,206,4,low,M,6,5038,No
A,Ship,3,3,232,4,low,F,4,4662,Yes
D,Flight,6,2,291,4,low,M,8,1019,No
C,Ship,3,1,229,3,medium,M,7,5324,Yes
D,Ship,3,5,149,2,medium,M,5,1023,No
F,Ship,4,2,224,3,low,F,9,4896,No
F,Ship,4,4,176,3,low,F,1,4774,No
F,Flight,5,4,235,5,low,F,8,1549,No
F,Ship,5,1,167,3,low,M,9,4660,No
F,Ship,4,3,190,2,low,F,7,5834,Yes
C,Ship,5,1,255,5,medium,M,9,1156,Yes
D,Ship,3,2,185,3,medium,M,47,2467,Yes
A,Ship,3,4,198,2,low,M,25,2774,Yes
C,Road,2,5,263,3,low,F,5,2947,Yes
A,Ship,4,2,249,2,medium,F,7,5876,Yes
B,Ship,4,2,195,5,medium,M,9,5178,Yes
A,Road,3,4,250,2,high,M,61,3207,Yes
F,Ship,4,5,153,2,low,M,1,4492,No
A,Flight,3,4,229,2,low,M,51,2628,Yes
F,Ship,5,4,243,5,low,F,2,1637,No
D,Ship,4,1,211,7,high,M,4,4476,Yes
C,Flight,6,1,265,4,low,F,7,1644,Yes
F,Flight,7,5,310,4,low,F,5,1975,No
F,Ship,4,1,159,4,low,M,5,5420,Yes
C,Ship,2,5,233,3,low,M,9,4751,Yes
B,Road,3,1,229,3,medium,M,2,3963,Yes
F,Ship,4,4,140,2,low,F,47,1831,Yes
B,Ship,4,1,175,3,medium,M,2,5861,No
B,Ship,3,3,104,5,low,F,5,4643,No
A,Flight,3,2,180,4,medium,M,52,1329,Yes
C,Ship,3,4,145,8,low,F,24,1594,Yes
B,Ship,5,5,186,4,medium,F,9,5592,Yes
F,Ship,4,4,265,3,low,M,10,4741,No
F,Ship,4,4,184,3,low,F,10,5705,Yes
D,Ship,4,2,192,3,high,M,4,2061,Yes
D,Road,5,5,154,3,medium,F,50,1389,Yes
B,Ship,4,1,258,3,medium,M,3,3928,Yes
D,Ship,3,4,166,3,medium,M,43,1095,Yes
C,Ship,3,2,204,4,medium,M,7,4768,No
F,Ship,3,2,126,10,low,M,3,4073,Yes
F,Ship,4,4,149,3,medium,F,2,4241,Yes
D,Road,3,4,185,4,medium,F,6,5322,No
B,Flight,3,2,238,4,medium,F,49,3179,Yes
C,Ship,5,5,263,5,medium,M,2,1417,No
D,Ship,4,1,187,2,low,M,5,5691,No
F,Flight,4,5,183,2,medium,F,2,4533,Yes
B,Flight,3,5,157,3,medium,F,4,1889,Yes
D,Flight,4,2,250,3,low,M,5,4488,Yes
C,Ship,3,2,177,2,medium,M,4,4417,No
F,Flight,5,5,133,2,low,F,10,4398,No
D,Road,4,4,209,3,medium,F,52,2740,Yes
D,Ship,3,4,169,2,low,M,17,1242,Yes
B,Ship,4,4,260,2,low,M,3,5801,No
D,Road,4,5,170,3,medium,M,3,4695,Yes
D,Ship,4,3,239,3,low,M,10,4020,No
F,Ship,3,2,142,2,low,M,7,4082,No
F,Road,4,4,238,4,high,M,1,5702,Yes
B,Road,5,5,184,3,low,F,2,5800,No
B,Road,4,2,219,4,low,M,8,5660,No
A,Ship,3,2,197,5,medium,F,9,4291,Yes
F,Ship,2,5,167,3,medium,M,8,4605,No
A,Ship,2,2,135,3,low,M,58,1734,Yes
B,Road,5,5,263,2,medium,M,59,3238,Yes
F,Ship,3,3,162,2,low,F,9,4903,No
A,Road,5,1,260,2,low,M,4,5580,No
D,Ship,6,2,245,4,low,F,10,1448,No
A,Ship,5,1,182,3,low,M,8,3580,Yes
A,Ship,5,4,200,3,medium,M,24,2078,Yes
F,Flight,3,5,257,3,medium,M,4,5196,Yes
D,Ship,3,3,257,3,low,M,5,4937,Yes
F,Ship,6,4,279,4,low,M,9,1128,No
C,Ship,3,4,253,3,high,F,8,5857,No
C,Ship,3,5,178,3,low,F,39,1498,Yes
B,Ship,3,1,191,5,medium,M,2,4956,Yes
C,Ship,3,5,156,3,medium,M,44,1424,Yes
B,Flight,3,5,108,2,low,F,10,5559,Yes
B,Road,5,1,226,6,low,M,5,1078,No
A,Road,3,1,134,3,low,F,7,5802,Yes
D,Ship,4,2,221,3,low,M,10,4126,No
F,Ship,3,5,178,3,low,F,7,4135,No
D,Ship,4,5,235,5,low,M,6,1460,No
A,Ship,4,5,217,4,medium,F,12,2217,Yes
A,Ship,4,4,228,5,low,F,1,1788,Yes
C,Ship,4,1,202,2,low,M,40,2327,Yes
C,Ship,6,1,222,8,low,M,2,4914,No
B,Ship,4,4,266,3,medium,F,5,4641,No
F,Ship,3,3,167,3,medium,F,42,1363,Yes
C,Ship,3,1,173,2,low,F,7,4684,No
D,Flight,4,1,161,3,low,M,1,4789,No
C,Ship,3,1,134,3,medium,M,10,4200,No
C,Ship,2,3,154,3,medium,M,3,4478,No
B,Ship,3,3,178,3,low,M,3,5396,Yes
D,Ship,5,2,241,2,medium,F,2,5448,No
A,Ship,4,2,218,2,low,M,4,4299,Yes
F,Ship,4,2,182,3,medium,M,7,4710,Yes
F,Ship,3,5,197,3,low,M,4,5423,No
A,Ship,6,2,287,4,low,F,7,1837,Yes
C,Ship,6,3,141,3,low,M,7,5222,Yes
B,Ship,3,4,268,2,medium,M,8,1991,Yes
C,Ship,5,5,271,4,low,M,9,1989,No
F,Ship,6,4,254,5,medium,F,10,1435,No
F,Ship,5,1,212,3,low,F,11,2073,Yes
F,Ship,3,3,261,3,low,M,2,5629,Yes
C,Ship,4,5,176,4,medium,M,6,5061,No
D,Road,6,3,113,2,medium,F,4,5130,Yes
B,Ship,3,5,209,3,high,F,4,5413,No
D,Ship,6,1,266,4,low,M,9,1287,No
A,Ship,4,4,184,3,medium,F,9,4500,No
A,Ship,4,4,264,6,low,F,6,1758,No
D,Road,4,5,139,3,low,M,5,5335,No
F,Flight,5,2,231,4,medium,M,41,2992,Yes
F,Ship,5,3,224,4,low,M,7,4553,No
C,Flight,3,1,155,3,medium,F,6,5113,Yes
C,Ship,6,1,264,4,medium,M,1,1273,No
A,Ship,3,2,261,8,low,F,3,5171,No
D,Ship,4,1,139,3,low,F,25,1152,Yes
A,Flight,4,1,270,5,medium,M,9,1280,Yes
A,Road,3,1,201,4,medium,F,9,5721,Yes
A,Ship,6,2,259,4,low,F,10,2000,Yes
D,Ship,4,1,158,3,medium,M,5,5782,No
F,Ship,3,2,183,5,low,F,2,1158,Yes
F,Ship,4,2,210,2,medium,F,1,5437,Yes
F,Ship,4,4,136,3,low,M,6,1900,Yes
F,Flight,4,1,266,3,low,M,10,4382,No
C,Flight,4,3,186,3,medium,F,9,5131,Yes
F,Ship,3,3,239,3,low,M,8,5366,Yes
F,Road,3,1,263,3,high,M,10,4911,No
B,Ship,4,3,237,3,medium,F,8,5045,Yes
A,Ship,4,4,192,4,medium,F,46,3599,Yes
B,Ship,3,2,199,4,low,F,47,2208,Yes
A,Ship,4,1,186,3,low,F,6,4758,No
A,Road,4,1,274,4,medium,M,61,3402,Yes
B,Ship,5,4,217,5,high,F,3,1007,Yes
F,Road,3,2,220,3,medium,M,7,4555,Yes
D,Ship,7,5,256,4,medium,F,2,1396,No
F,Ship,4,3,255,2,high,M,47,2956,Yes
B,Flight,3,5,146,3,medium,M,8,5637,Yes
D,Ship,5,1,228,5,low,F,2,1950,Yes
C,Road,4,3,137,3,medium,F,10,4820,Yes
F,Flight,4,1,260,4,low,M,2,4091,Yes
A,Ship,4,1,247,2,low,M,3,4113,No
F,Flight,4,2,273,2,low,F,9,3383,Yes
F,Ship,3,5,168,4,medium,M,23,1347,Yes
F,Ship,4,3,211,3,high,M,12,3922,Yes
C,Flight,3,5,214,2,medium,F,4,4077,Yes
F,Ship,5,4,255,6,low,M,3,4638,No
F,Ship,3,5,194,3,low,M,8,5726,Yes
A,Ship,4,2,273,5,medium,F,8,2000,No
F,Flight,4,5,152,7,low,M,9,4224,No
A,Road,5,3,174,3,medium,F,7,5510,Yes
F,Ship,3,4,211,3,low,F,6,5890,No
B,Ship,3,2,154,3,medium,M,1,5322,Yes
F,Ship,6,2,213,2,medium,F,7,5415,No
A,Ship,6,1,103,4,low,M,2,5089,No
F,Flight,5,4,211,3,medium,F,7,4856,No
D,Flight,6,4,264,5,medium,F,7,1220,Yes
F,Ship,4,5,272,2,medium,F,1,5378,No
A,Flight,6,2,290,4,medium,F,9,1339,No
B,Ship,4,1,173,4,low,F,1,5789,No
B,Ship,5,2,239,2,medium,F,15,2471,Yes
D,Ship,3,5,137,2,medium,M,38,1647,Yes
A,Road,6,3,247,4,medium,F,9,1011,No
B,Ship,3,2,207,3,medium,F,1,4369,No
F,Ship,4,2,178,8,medium,M,5,4120,Yes
A,Flight,6,3,266,4,medium,F,8,1547,No
D,Ship,3,5,145,2,low,F,2,4232,Yes
F,Flight,4,4,261,3,medium,M,2,4140,No
D,Ship,6,5,290,4,low,M,6,1929,No
D,Flight,4,5,275,5,medium,F,8,1093,Yes
F,Ship,4,4,175,3,low,M,8,5944,Yes
F,Ship,4,4,201,2,medium,M,7,4320,No
F,Ship,4,1,182,2,medium,F,10,5638,No
A,Flight,5,4,190,2,medium,F,23,3960,Yes
A,Flight,5,3,270,5,low,F,1,1568,Yes
F,Ship,3,2,220,3,low,F,7,5503,No
F,Flight,6,4,292,4,low,F,10,1321,Yes
F,Ship,3,5,258,3,low,M,17,3033,Yes
F,Ship,4,4,224,4,medium,F,2,4503,Yes
B,Ship,4,1,151,2,low,M,42,1367,Yes
F,Ship,3,1,181,3,medium,M,22,3266,Yes
B,Ship,3,2,184,4,medium,F,10,2972,Yes
C,Flight,6,4,243,4,low,M,9,1353,Yes
B,Ship,2,2,161,3,low,F,5,5999,Yes
C,Ship,7,1,307,4,low,M,4,1371,Yes
D,Ship,4,1,159,3,medium,M,13,1445,Yes
F,Road,4,5,167,2,low,F,7,4289,Yes
C,Ship,6,3,134,8,high,F,12,1371,Yes
B,Ship,4,4,159,2,low,M,4,4648,Yes
B,Ship,3,3,188,5,low,M,25,3992,Yes
B,Road,2,5,111,2,low,M,4,4473,Yes
F,Ship,4,4,218,4,low,M,45,3234,Yes
C,Flight,5,2,265,3,low,F,12,2892,Yes
F,Ship,5,1,259,3,low,M,1,5725,No
A,Ship,4,1,223,3,low,F,9,4832,No
D,Road,4,4,196,2,low,F,6,2718,Yes
D,Ship,4,4,257,5,medium,F,9,1869,Yes
A,Ship,5,5,153,5,medium,M,10,5297,No
B,Ship,3,5,180,4,low,F,9,5105,Yes
A,Flight,6,4,279,4,low,F,10,1462,Yes
D,Ship,4,1,272,3,medium,M,49,2803,Yes
C,Flight,4,5,263,4,medium,F,7,4243,Yes
F,Road,5,3,240,5,low,M,4,1389,No
C,Ship,4,1,201,10,medium,M,37,3402,Yes
B,Ship,4,2,193,2,high,F,48,2371,Yes
F,Ship,6,1,152,2,low,F,3,1340,No
F,Road,4,1,182,3,medium,M,28,2005,Yes
F,Flight,3,3,252,2,high,M,1,5707,Yes
B,Ship,4,2,182,3,medium,M,9,5735,No
F,Ship,3,4,153,2,medium,M,37,1740,Yes
C,Ship,6,1,286,4,medium,M,1,1636,No
B,Flight,4,1,269,3,medium,F,23,3652,Yes
F,Ship,4,5,243,4,medium,F,41,2782,Yes
C,Ship,4,4,133,2,medium,F,4,4724,No
B,Ship,4,2,225,3,low,M,52,3189,Yes
F,Ship,4,3,232,5,medium,F,8,1265,No
D,Ship,4,1,242,6,low,M,4,1791,Yes
D,Ship,6,1,281,4,medium,M,2,1592,No
F,Ship,4,2,158,3,low,M,3,4527,No
F,Ship,3,4,187,3,low,F,9,4725,Yes
F,Ship,4,3,220,3,medium,M,8,3342,Yes
C,Ship,6,4,286,4,low,F,8,1690,Yes
D,Ship,3,4,268,2,medium,F,4,1442,Yes
D,Ship,5,3,114,6,medium,F,60,1746,Yes
B,Ship,4,2,275,6,medium,M,9,1890,No
D,Ship,3,5,144,6,low,F,46,1110,Yes
F,Ship,3,1,252,4,high,M,4,4303,No
C,Flight,3,3,214,2,medium,F,4,3754,Yes
B,Road,5,2,173,3,low,F,7,1855,Yes
F,Flight,4,4,146,3,medium,F,6,4672,Yes
F,Road,4,1,252,3,low,M,4,5119,Yes
F,Ship,4,5,232,5,low,F,3,1817,No
A,Road,4,3,227,3,medium,M,8,5829,Yes
F,Flight,4,5,275,6,medium,M,10,1400,Yes
F,Flight,5,1,272,3,medium,M,27,2415,Yes
C,Flight,4,5,265,2,low,M,9,5040,No
F,Flight,5,4,220,2,medium,M,8,5073,No
B,Ship,5,4,211,4,low,F,4,4498,Yes
B,Ship,3,5,225,3,medium,M,8,3813,Yes
D,Ship,4,2,244,3,high,F,3,4103,No
D,Flight,4,5,138,7,medium,M,60,1366,Yes
C,Road,4,3,134,3,low,M,51,1965,Yes
F,Ship,5,5,135,3,low,F,4,5734,No
F,Ship,3,1,166,3,medium,F,9,4251,No
B,Ship,4,3,244,3,low,M,7,4761,No
F,Ship,4,2,251,2,low,M,53,2673,Yes
D,Road,3,4,205,3,low,F,10,2728,Yes
C,Ship,4,4,184,8,low,M,7,5235,Yes
C,Ship,3,3,149,2,medium,M,7,1145,Yes
B,Road,3,3,249,3,medium,M,51,2173,Yes
F,Flight,4,1,253,3,low,M,36,2591,Yes
D,Road,5,1,187,2,low,F,7,4792,No
A,Ship,4,3,296,2,medium,F,9,1523,Yes
D,Road,2,3,170,8,low,M,61,1240,Yes
B,Ship,4,5,227,5,low,F,2,1804,Yes
F,Ship,4,1,249,6,medium,M,2,5720,Yes
F,Ship,5,5,275,3,medium,M,9,4287,Yes
A,Ship,3,1,142,4,medium,M,7,4780,No
B,Road,5,4,201,2,low,M,5,5593,Yes
F,Flight,4,2,139,4,low,F,41,1511,Yes
C,Ship,6,1,289,5,medium,M,7,1223,No
B,Road,3,1,112,5,medium,F,41,1249,Yes
D,Ship,7,5,253,4,low,F,6,1344,Yes
A,Road,4,1,170,10,medium,F,3,5211,Yes
B,Ship,3,4,194,3,medium,M,3,2169,Yes
A,Ship,4,3,262,3,medium,M,46,2904,Yes
F,Ship,3,5,159,3,medium,F,1,4314,Yes
F,Road,5,3,234,3,low,M,10,5673,No
C,Ship,5,3,235,2,medium,F,12,3358,Yes
F,Ship,5,4,193,3,low,M,55,2758,Yes
B,Ship,4,4,222,2,medium,M,7,4343,No
B,Flight,5,1,202,4,low,F,2,5748,No
F,Ship,4,2,177,3,low,M,8,4904,No
D,Road,3,1,101,2,medium,F,1,5560,No
F,Flight,5,2,211,3,medium,F,8,4962,No
B,Road,2,3,242,2,medium,F,1,5892,Yes
F,Ship,3,2,162,2,low,F,54,1614,Yes
F,Ship,3,5,167,2,low,F,2,4141,No
C,Ship,4,1,162,3,medium,M,6,4343,Yes
A,Ship,3,4,203,3,medium,M,1,5543,No
B,Ship,6,3,304,5,medium,F,10,1254,Yes
F,Ship,6,5,291,4,low,M,3,1102,Yes
B,Ship,4,1,234,3,low,M,2,4282,No
F,Road,4,1,160,2,medium,M,1,5741,Yes
D,Ship,6,5,250,2,low,F,7,4724,No
A,Ship,3,4,176,3,low,F,4,1095,Yes
B,Ship,3,4,259,2,medium,F,3,4154,Yes
B,Ship,5,2,254,3,low,F,9,5714,Yes
B,Flight,4,5,214,3,high,F,1,4004,No
F,Road,5,1,215,2,low,M,3,4700,No
F,Flight,3,4,245,2,medium,F,1,4427,No
F,Ship,4,4,192,2,low,M,7,4151,No
C,Flight,3,3,197,3,medium,M,8,4568,No
C,Ship,5,2,254,6,low,M,5,1885,No
F,Ship,2,1,222,2,medium,M,5,3778,Yes
C,Ship,6,4,272,4,low,F,4,4098,No
F,Flight,4,2,182,3,medium,M,14,3413,Yes
F,Ship,5,2,224,3,high,M,4,4271,No
F,Ship,4,4,207,3,medium,F,1,4019,No
F,Ship,4,3,133,2,low,F,10,4195,No
B,Ship,4,3,231,3,medium,F,8,5069,Yes
B,Ship,3,1,158,5,low,M,4,1171,Yes
D,Ship,3,2,164,4,medium,M,2,1701,Yes
B,Flight,5,4,219,5,low,M,5,1867,No
C,Ship,5,1,170,3,high,M,58,1651,Yes
A,Road,3,1,269,4,low,F,7,5107,No
D,Ship,3,4,245,10,medium,M,1,5363,No
F,Ship,4,2,223,3,high,M,5,4282,No
B,Ship,4,2,233,7,medium,M,56,3925,Yes
F,Ship,5,5,171,3,low,M,8,4227,No
F,Ship,3,2,141,3,medium,F,41,1801,Yes
D,Ship,5,5,123,2,low,F,60,1653,Yes
B,Road,2,3,151,3,low,F,23,1930,Yes
B,Ship,4,4,177,3,medium,M,23,1142,Yes
A,Ship,4,4,218,4,medium,F,10,4967,No
B,Ship,3,2,177,3,low,F,9,5427,No
A,Ship,5,4,259,3,low,F,38,3720,Yes
C,Ship,4,3,254,2,high,F,3,4930,No
F,Ship,4,4,226,2,high,M,53,3154,Yes
F,Flight,3,3,153,2,low,F,39,1328,Yes
C,Ship,3,3,115,6,high,F,6,5636,No
A,Road,3,2,244,3,medium,M,10,4636,Yes
D,Flight,3,3,163,3,medium,M,5,5362,No
C,Road,3,4,188,4,low,M,2,1059,Yes
F,Ship,7,1,310,4,medium,F,8,1601,Yes
F,Road,5,5,224,8,low,F,49,3282,Yes
A,Ship,5,1,211,3,low,M,7,5594,Yes
B,Ship,6,2,286,4,low,F,4,1594,No
A,Ship,4,4,134,2,medium,F,5,5230,No
D,Ship,4,3,141,4,medium,F,38,1599,Yes
A,Road,6,1,258,4,low,M,3,1506,No
F,Road,4,4,146,3,low,F,10,5805,No
A,Ship,6,4,242,3,medium,M,9,5920,No
C,Ship,5,3,254,2,low,F,4,5014,No
A,Road,4,3,152,3,low,M,58,1453,Yes
C,Flight,4,5,221,3,low,F,6,5895,No
F,Road,3,4,245,4,low,M,4,5186,Yes
B,Ship,3,5,204,4,low,M,6,4879,Yes
B,Ship,3,2,241,3,medium,F,9,4301,No
A,Ship,3,3,231,2,medium,F,24,2177,Yes
B,Ship,3,2,137,3,medium,F,9,1347,Yes
D,Ship,4,2,156,2,medium,M,5,4467,Yes
C,Road,4,3,214,4,low,M,34,3446,Yes
F,Flight,3,1,135,3,low,M,9,4511,No
B,Ship,5,1,155,2,medium,F,40,1024,Yes
F,Road,4,2,149,2,medium,M,8,5460,Yes
A,Road,4,5,182,3,medium,F,2,4473,No
C,Ship,3,1,164,3,medium,F,9,1803,Yes
B,Road,4,4,248,3,medium,M,59,2868,Yes
A,Flight,5,4,172,2,low,M,5,4554,Yes
